Date,Time,CO(GT),T
2004-03-11,00.00.00,1.2,11.3
2004-03-11,01.00.00,1.0,10.7
2004-03-11,02.00.00,0.9,10.7
2004-03-11,03.00.00,0.6,10.3
2004-03-11,04.00.00,,10.1
2004-03-11,05.00.00,0.7,11.0
2004-03-11,06.00.00,0.7,10.5
2004-03-11,07.00.00,1.1,10.2
2004-03-11,08.00.00,2.0,10.8
2004-03-11,09.00.00,2.2,10.5
2004-03-11,10.00.00,1.7,10.8
2004-03-11,11.00.00,1.5,10.5
2004-03-11,12.00.00,1.6,9.5
2004-03-11,13.00.00,1.9,8.3
2004-03-11,14.00.00,2.9,8.0
2004-03-11,15.00.00,2.2,8.3
2004-03-11,16.00.00,2.2,9.7
2004-03-11,17.00.00,2.9,9.8
2004-03-11,18.00.00,4.8,10.3
2004-03-11,19.00.00,6.9,9.7
2004-03-11,20.00.00,6.1,9.6
2004-03-11,21.00.00,3.9,9.1
2004-03-11,22.00.00,1.5,8.2
2004-03-11,23.00.00,1.0,8.2
2004-03-12,00.00.00,1.7,8.3
2004-03-12,01.00.00,1.9,7.7
2004-03-12,02.00.00,1.4,7.1
2004-03-12,03.00.00,0.8,7.0
2004-03-12,04.00.00,,6.1
2004-03-12,05.00.00,0.6,6.3
2004-03-12,06.00.00,0.8,6.8
2004-03-12,07.00.00,1.4,6.4
2004-03-12,08.00.00,4.4,7.3
2004-03-12,09.00.00,,9.2
2004-03-12,10.00.00,3.1,13.2
2004-03-12,11.00.00,2.7,14.3
2004-03-12,12.00.00,2.1,15.0
2004-03-12,13.00.00,2.5,16.1
2004-03-12,14.00.00,2.7,16.3
2004-03-12,15.00.00,2.9,15.8
2004-03-12,16.00.00,2.8,15.9
2004-03-12,17.00.00,2.4,16.9
2004-03-12,18.00.00,3.9,15.1
2004-03-12,19.00.00,3.7,14.4
2004-03-12,20.00.00,6.6,12.9
2004-03-12,21.00.00,4.4,12.1
2004-03-12,22.00.00,3.5,11.0
2004-03-12,23.00.00,5.4,9.7
2004-03-13,00.00.00,2.7,9.5
2004-03-13,01.00.00,1.9,9.1
2004-03-13,02.00.00,1.6,8.8
2004-03-13,03.00.00,1.7,7.8
2004-03-13,04.00.00,,7.0
2004-03-13,05.00.00,1.0,8.3
2004-03-13,06.00.00,1.2,7.2
2004-03-13,07.00.00,1.5,6.3
2004-03-13,08.00.00,2.7,6.5
2004-03-13,09.00.00,3.7,9.6
2004-03-13,10.00.00,3.2,12.4
2004-03-13,11.00.00,4.1,15.6
2004-03-13,12.00.00,3.6,18.4
2004-03-13,13.00.00,2.8,19.4
2004-03-13,14.00.00,2.0,18.0
2004-03-13,15.00.00,2.0,18.4
2004-03-13,16.00.00,2.5,17.6
2004-03-13,17.00.00,2.3,16.7
2004-03-13,18.00.00,3.2,16.1
2004-03-13,19.00.00,4.2,15.8
2004-03-13,20.00.00,4.2,15.7
2004-03-13,21.00.00,4.2,15.3
2004-03-13,22.00.00,3.1,14.6
2004-03-13,23.00.00,2.6,14.7
2004-03-14,00.00.00,2.9,13.9
2004-03-14,01.00.00,2.8,14.6
2004-03-14,02.00.00,2.5,12.5
2004-03-14,03.00.00,2.4,11.6
2004-03-14,04.00.00,,12.1
2004-03-14,05.00.00,1.2,11.5
2004-03-14,06.00.00,1.0,11.6
2004-03-14,07.00.00,0.9,10.4
2004-03-14,08.00.00,1.4,11.6
2004-03-14,09.00.00,1.6,12.4
2004-03-14,10.00.00,2.2,14.5
2004-03-14,11.00.00,2.8,16.9
2004-03-14,12.00.00,2.8,19.3
2004-03-14,13.00.00,2.0,21.2
2004-03-14,14.00.00,1.8,21.4
2004-03-14,15.00.00,1.9,21.9
2004-03-14,16.00.00,3.0,22.2
2004-03-14,17.00.00,2.9,21.3
2004-03-14,18.00.00,2.5,19.7
2004-03-14,19.00.00,4.6,18.4
2004-03-14,20.00.00,5.9,17.6
2004-03-14,21.00.00,3.4,16.7
2004-03-14,22.00.00,2.1,16.3
2004-03-14,23.00.00,2.2,14.7
2004-03-15,00.00.00,1.8,14.8
2004-03-15,01.00.00,1.8,14.0
2004-03-15,02.00.00,1.8,13.4
2004-03-15,03.00.00,1.1,12.6
2004-03-15,04.00.00,,12.3
2004-03-15,05.00.00,1.0,11.9
2004-03-15,06.00.00,1.4,11.4
2004-03-15,07.00.00,2.2,11.3
2004-03-15,08.00.00,5.5,12.4
2004-03-15,09.00.00,8.1,14.8
2004-03-15,10.00.00,5.8,17.4
2004-03-15,11.00.00,4.2,19.8
2004-03-15,12.00.00,3.1,22.0
2004-03-15,13.00.00,2.9,23.3
2004-03-15,14.00.00,2.9,23.9
2004-03-15,15.00.00,2.5,24.4
2004-03-15,16.00.00,2.3,24.4
2004-03-15,17.00.00,2.8,23.8
2004-03-15,18.00.00,6.1,22.5
2004-03-15,19.00.00,8.0,20.4
2004-03-15,20.00.00,6.5,18.3
2004-03-15,21.00.00,4.2,16.7
2004-03-15,22.00.00,3.2,15.7
2004-03-15,23.00.00,1.4,15.3
2004-03-16,00.00.00,2.1,14.1
2004-03-16,01.00.00,1.2,14.8
2004-03-16,02.00.00,0.8,14.8
2004-03-16,03.00.00,0.7,13.6
2004-03-16,04.00.00,,12.3
2004-03-16,05.00.00,0.6,12.8
2004-03-16,06.00.00,0.9,11.2
2004-03-16,07.00.00,1.3,11.0
2004-03-16,08.00.00,3.4,11.7
2004-03-16,09.00.00,3.7,13.6
2004-03-16,10.00.00,5.3,17.8
2004-03-16,11.00.00,4.1,21.4
2004-03-16,12.00.00,3.3,24.4
2004-03-16,13.00.00,4.0,25.3
2004-03-16,14.00.00,3.8,25.8
2004-03-16,15.00.00,2.8,27.0
2004-03-16,16.00.00,2.9,28.2
2004-03-16,17.00.00,2.9,28.0
2004-03-16,18.00.00,3.4,23.9
2004-03-16,19.00.00,3.9,21.3
2004-03-16,20.00.00,3.2,20.4
2004-03-16,21.00.00,5.1,19.0
2004-03-16,22.00.00,2.6,17.9
2004-03-16,23.00.00,1.7,16.7
2004-03-17,00.00.00,1.7,15.5
2004-03-17,01.00.00,1.2,15.5
2004-03-17,02.00.00,0.9,14.1
2004-03-17,03.00.00,0.7,13.1
2004-03-17,04.00.00,,12.7
2004-03-17,05.00.00,0.5,11.8
2004-03-17,06.00.00,0.5,11.9
2004-03-17,07.00.00,1.6,9.9
2004-03-17,08.00.00,4.1,11.1
2004-03-17,09.00.00,6.6,14.1
2004-03-17,10.00.00,4.3,17.7
2004-03-17,11.00.00,2.9,21.1
2004-03-17,12.00.00,2.5,24.3
2004-03-17,13.00.00,2.8,25.6
2004-03-17,14.00.00,2.6,25.9
2004-03-17,15.00.00,2.0,26.8
2004-03-17,16.00.00,2.9,29.3
2004-03-17,17.00.00,2.5,28.5
2004-03-17,18.00.00,5.0,25.9
2004-03-17,19.00.00,7.6,23.1
2004-03-17,20.00.00,6.7,20.5
2004-03-17,21.00.00,5.7,19.1
2004-03-17,22.00.00,2.8,17.2
2004-03-17,23.00.00,2.6,16.0
2004-03-18,00.00.00,2.3,14.8
2004-03-18,01.00.00,1.4,14.3
2004-03-18,02.00.00,1.0,14.8
2004-03-18,03.00.00,0.7,13.9
2004-03-18,04.00.00,,11.6
2004-03-18,05.00.00,0.6,12.0
2004-03-18,06.00.00,0.7,10.9
2004-03-18,07.00.00,1.5,10.6
2004-03-18,08.00.00,4.7,11.5
2004-03-18,09.00.00,6.6,14.3
2004-03-18,10.00.00,4.5,17.8
2004-03-18,11.00.00,2.8,20.8
2004-03-18,12.00.00,2.2,23.8
2004-03-18,13.00.00,2.2,24.2
2004-03-18,14.00.00,2.3,25.2
2004-03-18,15.00.00,2.2,27.0
2004-03-18,16.00.00,2.8,27.1
2004-03-18,17.00.00,2.7,25.8
2004-03-18,18.00.00,3.7,23.0
2004-03-18,19.00.00,5.1,20.7
2004-03-18,20.00.00,5.1,18.6
2004-03-18,21.00.00,3.2,16.0
2004-03-18,22.00.00,2.1,14.5
2004-03-18,23.00.00,1.7,13.1
2004-03-19,00.00.00,2.0,12.0
2004-03-19,01.00.00,1.6,11.9
2004-03-19,02.00.00,0.9,12.5
2004-03-19,03.00.00,0.7,12.5
2004-03-19,04.00.00,,12.3
2004-03-19,05.00.00,0.5,12.5
2004-03-19,06.00.00,0.7,12.3
2004-03-19,07.00.00,1.5,12.4
2004-03-19,08.00.00,4.8,13.0
2004-03-19,09.00.00,6.2,13.6
2004-03-19,10.00.00,4.0,13.9
2004-03-19,11.00.00,3.3,14.5
2004-03-19,12.00.00,2.8,15.5
2004-03-19,13.00.00,3.0,16.1
2004-03-19,14.00.00,3.3,16.3
2004-03-19,15.00.00,3.5,16.4
2004-03-19,16.00.00,4.0,16.1
2004-03-19,17.00.00,4.6,16.0
2004-03-19,18.00.00,4.1,15.8
2004-03-19,19.00.00,4.5,15.5
2004-03-19,20.00.00,3.9,15.4
2004-03-19,21.00.00,4.0,15.2
2004-03-19,22.00.00,2.2,14.7
2004-03-19,23.00.00,2.1,14.2
2004-03-20,00.00.00,1.7,13.8
2004-03-20,01.00.00,1.6,13.9
2004-03-20,02.00.00,1.3,13.9
2004-03-20,03.00.00,1.3,13.8
2004-03-20,04.00.00,,13.8
2004-03-20,05.00.00,0.8,13.6
2004-03-20,06.00.00,0.8,13.6
2004-03-20,07.00.00,1.1,13.5
2004-03-20,08.00.00,2.1,13.8
2004-03-20,09.00.00,2.4,14.6
2004-03-20,10.00.00,2.6,15.0
2004-03-20,11.00.00,2.8,15.4
2004-03-20,12.00.00,2.6,16.3
2004-03-20,13.00.00,2.6,17.1
2004-03-20,14.00.00,2.1,19.0
2004-03-20,15.00.00,1.7,19.5
2004-03-20,16.00.00,1.6,19.5
2004-03-20,17.00.00,2.1,19.1
2004-03-20,18.00.00,2.3,18.5
2004-03-20,19.00.00,3.5,17.4
2004-03-20,20.00.00,3.9,17.1
2004-03-20,21.00.00,3.3,16.4
2004-03-20,22.00.00,2.3,16.2
2004-03-20,23.00.00,2.1,15.9
2004-03-21,00.00.00,2.8,15.7
2004-03-21,01.00.00,2.1,15.1
2004-03-21,02.00.00,1.6,15.6
2004-03-21,03.00.00,1.6,15.2
2004-03-21,04.00.00,,15.4
2004-03-21,05.00.00,1.1,14.9
2004-03-21,06.00.00,0.7,14.5
2004-03-21,07.00.00,0.8,14.2
2004-03-21,08.00.00,1.2,14.5
2004-03-21,09.00.00,1.4,15.3
2004-03-21,10.00.00,1.7,16.3
2004-03-21,11.00.00,1.8,18.9
2004-03-21,12.00.00,1.8,19.4
2004-03-21,13.00.00,1.9,20.8
2004-03-21,14.00.00,1.3,21.4
2004-03-21,15.00.00,1.6,21.2
2004-03-21,16.00.00,1.9,20.3
2004-03-21,17.00.00,2.3,19.4
2004-03-21,18.00.00,3.8,18.5
2004-03-21,19.00.00,3.5,17.8
2004-03-21,20.00.00,4.3,17.9
2004-03-21,21.00.00,2.8,17.4
2004-03-21,22.00.00,1.9,17.0
2004-03-21,23.00.00,1.9,16.4
2004-03-22,00.00.00,1.7,16.1
2004-03-22,01.00.00,1.5,15.8
2004-03-22,02.00.00,0.6,16.3
2004-03-22,03.00.00,0.4,16.9
2004-03-22,04.00.00,,16.1
2004-03-22,05.00.00,0.3,16.5
2004-03-22,06.00.00,0.6,16.4
2004-03-22,07.00.00,1.2,15.7
2004-03-22,08.00.00,3.6,15.8
2004-03-22,09.00.00,3.7,17.4
2004-03-22,10.00.00,1.8,17.9
2004-03-22,11.00.00,1.6,18.5
2004-03-22,12.00.00,1.9,21.0
2004-03-22,13.00.00,2.0,21.3
2004-03-22,14.00.00,2.2,21.3
2004-03-22,15.00.00,2.1,21.3
2004-03-22,16.00.00,2.3,21.3
2004-03-22,17.00.00,2.6,20.2
2004-03-22,18.00.00,3.8,17.0
2004-03-22,19.00.00,4.4,15.6
2004-03-22,20.00.00,4.5,15.3
2004-03-22,21.00.00,3.3,14.5
2004-03-22,22.00.00,2.0,13.9
2004-03-22,23.00.00,1.1,14.5
2004-03-23,00.00.00,0.9,13.8
2004-03-23,01.00.00,0.8,14.0
2004-03-23,02.00.00,0.7,13.0
2004-03-23,03.00.00,0.5,11.0
2004-03-23,04.00.00,,10.1
2004-03-23,05.00.00,0.3,8.8
2004-03-23,06.00.00,0.5,9.6
2004-03-23,07.00.00,1.1,9.8
2004-03-23,08.00.00,3.0,10.0
2004-03-23,09.00.00,3.8,11.2
2004-03-23,10.00.00,3.4,12.0
2004-03-23,11.00.00,3.0,12.8
2004-03-23,12.00.00,2.7,13.1
2004-03-23,13.00.00,3.5,13.8
2004-03-23,14.00.00,2.8,16.0
2004-03-23,15.00.00,1.9,14.1
2004-03-23,16.00.00,2.0,12.0
2004-03-23,17.00.00,3.0,13.6
2004-03-23,18.00.00,1.9,13.7
2004-03-23,19.00.00,2.7,11.7
2004-03-23,20.00.00,3.3,11.5
2004-03-23,21.00.00,1.7,12.6
2004-03-23,22.00.00,1.3,12.0
2004-03-23,23.00.00,1.3,11.0
2004-03-24,00.00.00,1.2,11.1
2004-03-24,01.00.00,1.1,10.8
2004-03-24,02.00.00,0.9,11.3
2004-03-24,03.00.00,0.6,10.6
2004-03-24,04.00.00,,10.2
2004-03-24,05.00.00,0.6,10.9
2004-03-24,06.00.00,0.8,10.8
2004-03-24,07.00.00,1.2,10.4
2004-03-24,08.00.00,3.1,11.0
2004-03-24,09.00.00,4.4,11.2
2004-03-24,10.00.00,3.4,12.1
2004-03-24,11.00.00,1.7,15.1
2004-03-24,12.00.00,1.5,15.6
2004-03-24,13.00.00,1.7,16.9
2004-03-24,14.00.00,2.2,16.6
2004-03-24,15.00.00,,11.3
2004-03-24,16.00.00,2.7,9.6
2004-03-24,17.00.00,2.8,11.7
2004-03-24,18.00.00,2.7,10.7
2004-03-24,19.00.00,4.5,10.7
2004-03-24,20.00.00,3.5,10.8
2004-03-24,21.00.00,2.6,10.3
2004-03-24,22.00.00,1.7,10.1
2004-03-24,23.00.00,1.3,10.4
